comarca,serventia,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
GOIÂNIA,9ª Vara Criminal dos crimes punidos com reclusão e detenção,2025,1095,1556,1103,41.48
GOIÂNIA,9ª Vara Cível,2025,2114,2396,3056,56.05
GOIÂNIA,9º Juizado Especial Cível,2025,5528,6161,2598,29.66
GOIÂNIA,Auditoria Militar,2025,618,994,811,44.93
GOIÂNIA,Núcleo da Justiça 4.0 – Finalizar,2025,1,72,1341,94.9
GOIÂNIA,Núcleo de Justiça 4.0 - Execução Fiscal,2025,1139,34,7212,99.53
GOIÂNIA,Vara de Execução de Penas e Medidas Alternativas,2025,3396,3190,6314,66.44
IACIARA,Vara Judicial,2025,1187,1270,2045,61.69
INHUMAS,"Vara Criminal (crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Júri - Execução Penal) e Juizado Especial Criminal",2025,1705,1702,2572,60.18
INHUMAS,"Vara Cível, Infância e Juventude e Juizado Especial Cível",2025,3287,3631,4865,57.26
INHUMAS,Vara das Fazendas Públicas e Registros Públicos e Família e Sucessões,2025,1696,2676,1896,41.47
IPAMERI,"1ª Vara (Cível, Criminal - crime em geral e exec. penais - e da Infância e da Juventude)",2025,1266,1576,1416,47.33
IPAMERI,"2ª Vara (Cível, Criminal crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Juri, das Fazendas Púb., de Reg. Púb. e Amb.)",2025,1673,2192,1856,45.85
IPAMERI,Juizado Especial Cível e Criminal,2025,1825,2415,959,28.42
IPORÁ,"1ª Vara (Cív., Criminal - crime em geral e exec. penais - e da Inf. e da Juventude)",2025,1916,2221,3878,63.58
IPORÁ,"2ª Vara (Cível, Criminal - crime em geral, crimes dolosos contra a vida e Pres. do Trib. do Juri, das Faz. Púb., de Reg. Púb. e Ambiental)",2025,3392,3942,5176,56.77
IPORÁ,Juizado Especial Cível e Criminal,2025,1374,1589,864,35.22
ITAJÁ,Vara Judicial,2025,1388,1773,2265,56.09
ITAPACI,Vara Judicial,2025,3521,4773,5592,53.95
ITAPIRAPUÃ,Vara Judicial,2025,1500,1961,3083,61.12
ITAPURANGA,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025,2100,2162,2516,53.78
ITAPURANGA,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025,3062,3552,5207,59.45
ITAUÇU,Vara Judicial,2025,801,993,1697,63.09
